model,avg,std_dev
nvidia/nemotron-nano-9b-v2:free,3.483,6.742
deepseek/deepseek-chat-v3.1:free,3.412,6.604
openai/gpt-oss-120b:free,3.352,6.487
openai/gpt-oss-20b:free,3.294,6.366
z-ai/glm-4.5-air:free,3.229,6.244
qwen/qwen3-coder:free,3.169,6.12
moonshotai/kimi-k2:free,3.109,6.004
cognitivecomputations/dolphin-mistral-24b-venice-edition:free,3.049,5.881
google/gemma-3n-e2b-it:free,2.991,5.767
tencent/hunyuan-a13b-instruct:free,2.926,5.635
tngtech/deepseek-r1t2-chimera:free,2.872,5.53
mistralai/mistral-small-3.2-24b-instruct:free,2.804,5.392
moonshotai/kimi-dev-72b:free,2.744,5.269
deepseek/deepseek-r1-0528-qwen3-8b:free,2.684,5.153
deepseek/deepseek-r1-0528:free,2.627,5.04
mistralai/devstral-small-2505:free,2.563,4.916
google/gemma-3n-e4b-it:free,2.5,4.793
meta-llama/llama-3.3-8b-instruct:free,2.434,4.653
qwen/qwen3-4b:free,2.373,4.533
qwen/qwen3-30b-a3b:free,2.314,4.415
qwen/qwen3-8b:free,2.252,4.29
qwen/qwen3-14b:free,2.193,4.173
qwen/qwen3-235b-a22b:free,2.132,4.052
tngtech/deepseek-r1t-chimera:free,2.073,3.932
microsoft/mai-ds-r1:free,2.01,3.811
shisa-ai/shisa-v2-llama3.3-70b:free,1.948,3.685
arliai/qwq-32b-arliai-rpr-v1:free,1.882,3.556
agentica-org/deepcoder-14b-preview:free,1.82,3.432
moonshotai/kimi-vl-a3b-thinking:free,1.75,3.285
meta-llama/llama-4-maverick:free,1.677,3.141
meta-llama/llama-4-scout:free,1.614,3.015
qwen/qwen2.5-vl-32b-instruct:free,1.544,2.881
deepseek/deepseek-chat-v3-0324:free,1.481,2.75
mistralai/mistral-small-3.1-24b-instruct:free,1.418,2.627
google/gemma-3-4b-it:free,1.36,2.505
google/gemma-3-12b-it:free,1.293,2.378
google/gemma-3-27b-it:free,1.224,2.239
qwen/qwq-32b:free,1.161,2.111
nousresearch/deephermes-3-llama-3-8b-preview:free,1.087,1.968
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,1.021,1.831
cognitivecomputations/dolphin3.0-mistral-24b:free,0.943,1.675
qwen/qwen2.5-vl-72b-instruct:free,0.869,1.527
mistralai/mistral-small-24b-instruct-2501:free,0.802,1.395
deepseek/deepseek-r1-distill-llama-70b:free,0.741,1.274
deepseek/deepseek-r1:free,0.668,1.118
google/gemini-2.0-flash-exp:free,0.612,1.016
meta-llama/llama-3.3-70b-instruct:free,0.544,0.879
qwen/qwen-2.5-coder-32b-instruct:free,0.482,0.757
meta-llama/llama-3.2-3b-instruct:free,0.413,0.609
qwen/qwen-2.5-72b-instruct:free,0.358,0.511
meta-llama/llama-3.1-405b-instruct:free,0.299,0.395
mistralai/mistral-nemo:free,0.24,0.277
google/gemma-2-9b-it:free,0.18,0.157
mistralai/mistral-7b-instruct:free,0.121,0.04
